SYMBOL, SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SOBHA, EQ, 20-Jul-2021,620.65,621.05,627.5,590.2,608,608.15,608.87,673689,4101.88,19791,244751,36.33
SOLARA, EQ, 20-Jul-2021,1668.25,1668.25,1716,1657,1666.75,1666.2,1680.5,112023,1882.54,10877,51084,45.6
SOLARINDS, EQ, 20-Jul-2021,1601.8,1601.9,1609,1550,1591.5,1591.7,1578.65,51330,810.32,6239,24450,47.63
SOLEX, SM, 20-Jul-2021,56.05,57.6,57.6,56,56,56,56.55,6000,3.39,3,4000,66.67
SOMANYCERA, BE, 20-Jul-2021,694.65,704.9,720,659.95,706.75,710.75,691.85,65431,452.69,1844, -, -
SOMATEX, EQ, 20-Jul-2021,6.95,6.75,7.25,6.75,6.95,7,7,20670,1.45,84,16672,80.66
SOMICONVEY, EQ, 20-Jul-2021,59.55,60.35,61,57.2,59.15,58.85,58.99,22807,13.45,502,12972,56.88
SONACOMS, EQ, 20-Jul-2021,393.8,401.7,456.9,392,426,439.85,424.21,8324982,35315.8,124930,3179374,38.19
SONAMCLOCK, SM, 20-Jul-2021,57.9,58,58,57,57.25,57.25,57.42,9000,5.17,3,0,0
SONATSOFTW, EQ, 20-Jul-2021,791.15,789.9,789.9,760,773.95,768.1,773.85,183977,1423.7,13248,134018,72.84
SORILINFRA, EQ, 20-Jul-2021,140.8,142.75,142.75,134.75,135.35,135.15,136.92,47090,64.48,1245,27871,59.19
SOTL, EQ, 20-Jul-2021,1482.5,1496.95,1520.9,1440,1470,1474.95,1484.43,53425,793.06,6070,28045,52.49
SOUTHBANK, EQ, 20-Jul-2021,12.35,12.35,12.45,11.85,12,12,12.05,23648536,2849.85,39753,8731274,36.92
SOUTHWEST, EQ, 20-Jul-2021,54.3,54.95,55.5,53,55,54.95,54.12,125300,67.81,1401,93287,74.45
SPAL, EQ, 20-Jul-2021,305.65,305.95,309.65,288.85,299.4,298.55,296.96,143806,427.05,5724,69227,48.14
SPANDANA, EQ, 20-Jul-2021,676.9,684.5,684.5,645.55,653.5,653.45,661.2,91659,606.05,6633,50551,55.15
SPARC, EQ, 20-Jul-2021,245.3,247,250.8,238.2,244.25,243.65,245.63,1183930,2908.07,17028,328012,27.71
SPECIALITY, EQ, 20-Jul-2021,69.1,68.6,70,67.15,67.9,67.7,68.39,178334,121.96,2773,105736,59.29
SPENCERS, EQ, 20-Jul-2021,93.55,93.95,94.35,82.2,88.35,88.3,90.04,1537835,1384.59,12610,499802,32.5
SPENTEX, BZ, 20-Jul-2021,1.25,1.3,1.3,1.3,1.3,1.3,1.3,77561,1.01,8, -, -
SPIC, EQ, 20-Jul-2021,64.5,64.05,64.9,60.25,61.4,61.7,61.99,1877660,1163.89,9987,902462,48.06
SPICEJET, EQ, 20-Jul-2021,77.55,77.5,78.45,74.35,75.7,75.7,76.27,4794896,3657.2,29258,1902646,39.68
SPLIL, EQ, 20-Jul-2021,51.4,51.45,51.45,48.5,49.05,49.55,49.91,114630,57.21,2230,67390,58.79
SPMLINFRA, EQ, 20-Jul-2021,11.65,11.85,11.85,11.1,11.15,11.1,11.23,121848,13.69,209,87806,72.06
SPTL, EQ, 20-Jul-2021,6.05,6.25,6.35,5.9,5.95,5.95,6.21,3875059,240.51,2274,2186565,56.43
SREEL, EQ, 20-Jul-2021,189.6,186.65,191.25,186,188.7,188.1,188.18,14377,27.05,515,7475,51.99
SREIBNPNCD, NJ, 20-Jul-2021,370,369,370,369,370,370,369.61,127,0.47,6,127,100
SREIBNPNCD, NL, 20-Jul-2021,365.13,420,420,419,420,419.86,419.87,46,0.19,3,46,100
SREIBNPNCD, NO, 20-Jul-2021,328.99,325,325,325,325,325,325,5,0.02,1,5,100
SREIBNPNCD, NQ, 20-Jul-2021,399,369,369,369,369,369,369,56,0.21,1,56,100
SREIBNPNCD, NU, 20-Jul-2021,312,350,350,315,315,315,332.75,69,0.23,5,35,50.72
SREIBNPNCD, Y1, 20-Jul-2021,380,380,380,380,380,380,380,32,0.12,2,32,100
SREIBNPNCD, Y2, 20-Jul-2021,380,380,380,380,380,380,380,1,0,1,1,100
SREIBNPNCD, Y3, 20-Jul-2021,358.25,345,345,345,345,345,345,5,0.02,1,5,100
SREINFRA, BE, 20-Jul-2021,12.65,12.75,12.75,12.05,12.15,12.1,12.11,865231,104.75,1955, -, -
SRF, EQ, 20-Jul-2021,7844.3,7827,7854.95,7681,7775.9,7796.95,7772.1,103679,8058.04,16748,22959,22.14
SRHHYPOLTD, EQ, 20-Jul-2021,323,323.1,327.75,313.35,315,315.5,319.5,25120,80.26,1963,14655,58.34
SRIPIPES, EQ, 20-Jul-2021,218.65,219.45,219.95,211.8,214.5,213.75,215.18,116532,250.75,4655,52732,45.25
SRPL, BE, 20-Jul-2021,37.75,37.75,39.4,35.9,39.2,39.1,37.01,102123,37.79,66, -, -
SRTRANSFIN, EQ, 20-Jul-2021,1389.85,1398,1409.9,1351,1395.95,1395.9,1383.51,1270061,17571.37,42974,268343,21.13
SRTRANSFIN, YH, 20-Jul-2021,1025,1025,1033,1025,1033,1033,1026.32,121,1.24,4,121,100
SRTRANSFIN, YI, 20-Jul-2021,1065,1080,1080,1080,1080,1080,1080,12,0.13,1,12,100
SRTRANSFIN, YK, 20-Jul-2021,1042,1039,1059.9,1039,1041,1041,1043.82,185,1.93,10,175,94.59
SRTRANSFIN, YN, 20-Jul-2021,1340.21,1338,1338,1338,1338,1338,1338,50,0.67,2,50,100
SRTRANSFIN, YO, 20-Jul-2021,1043.9,1026.52,1030,1026.52,1030,1030,1029.69,158,1.63,4,158,100
SRTRANSFIN, YP, 20-Jul-2021,1095,1072,1075,1072,1075,1075,1072.78,387,4.15,3,387,100
SRTRANSFIN, YQ, 20-Jul-2021,1070,1068,1068,1066.1,1066.1,1066.1,1066.18,60,0.64,5,60,100
SRTRANSFIN, YS, 20-Jul-2021,1152,1145.95,1150,1131.1,1150,1150,1132.92,37,0.42,3,35,94.59
SRTRANSFIN, YT, 20-Jul-2021,1279,1279,1279,1272, ,1272,1274.33,30,0.38,2,30,100
SRTRANSFIN, YU, 20-Jul-2021,1344,1328,1328,1317.01,1317.01,1317.01,1322.51,100,1.32,2,100,100
SRTRANSFIN, YV, 20-Jul-2021,1056,1051,1058,1036,1058,1058,1050.86,512,5.38,6,512,100
SRTRANSFIN, YX, 20-Jul-2021,1044.1,1048.01,1048.46,1048.01,1048.46,1048.46,1048.33,85,0.89,2,85,100
SRTRANSFIN, YY, 20-Jul-2021,1064.37,1167.6,1167.6,1167.6,1167.6,1167.6,1167.6,1,0.01,1,1,100
SRTRANSFIN, Z1, 20-Jul-2021,1255,1251,1255,1246,1246,1246,1251.35,120,1.5,7,120,100
SRTRANSFIN, Z3, 20-Jul-2021,1015,1020,1020,1020,1020,1020,1020,10,0.1,1,10,100
SRTRANSFIN, Z7, 20-Jul-2021,1100,1101.5,1105,1076.1,1105,1105,1089.93,721,7.86,12,586,81.28
SRTRANSFIN, Z9, 20-Jul-2021,1155,1151,1151,1151,1151,1151,1151,20,0.23,2,20,100
SRTRANSFIN, ZE, 20-Jul-2021,1019.9,1019.9,1019.99,1019.9,1019.99,1019.99,1019.98,50,0.51,2,50,100
SRTRANSFIN, ZF, 20-Jul-2021,1030,1035,1035,1035,1035,1035,1035,14,0.14,1,14,100
SRTRANSFIN, ZI, 20-Jul-2021,1150,1025.25,1025.25,1025,1025,1025,1025.1,500,5.13,10,500,100
